id,username,tweet
60951089,桜木李杏🌸🍲🦊C99_1日目「メ36a」委託/2日目「に35a」,"b""RT @lockheimer: We're bringing Play Games to Windows 10 and 11! Pretty excited to partner with so many game developers so that you can seam\xe2\x80\xa6"""
1408009628764585984,theolreverendsburner,b'@Macauley_Tonna @Halo My 2 cents: do a clean Windows 11 installation and just install your chipset and GPU drivers.'
1082920971114332160,Ricoh eShop UK,b'*PRODUCT*\n\nThe Lenovo notebook Laptops with NEW windows 11 are now available on the Ricoh eShop. \n\nFor UK Businesse\xe2\x80\xa6 https://t.co/EwLgWcKYhV'
2198733733,Cleodesktop,b'After Dark Gray Theme For Windows 11 - \nGet it here: https://t.co/ERekOx4wrP \n#FreeFire #Windows11 #BTS #FIFA22\xe2\x80\xa6 https://t.co/qyigdHoOPq'
1052557647856189441,Beyte Fyr,"b""Should I upgrade to Windows 11? I'm angsty about this."""
741271705419681792,Pureinfotech (feed),b'Pantone Color of the Year 2022 theme for Windows\xc2\xa011 https://t.co/rEz9cUHkiN'
153375516,Marcus Griffiths,b'RT @CRecyclers: *LIMITED AVAILABILITY* \nWindows 11 Ready Laptops! \nOrder now for Christmas Delivery \n#Windows11 \n https://t.co/kIkRVPCgMq h\xe2\x80\xa6'
1005087587923419137,いまおか,b'As the availability of new PC processors and new-generation Windows 11 will drive a replacement boom for PC product\xe2\x80\xa6 https://t.co/buneboaN5g'
1441080293364879375,Vinay Kishore,b'Arggggg\xf0\x9f\x98\xa1.......Everything in windows 11 is getting clicked twice. Everyone facing the same bug? Windows fix this fast'
3064146644,SATYAJIT GHOSH ,"b'RT @MicrosoftHelps: It might not come with a bow \xf0\x9f\x8e\x80 on top, but your PC will love that shiny new upgrade regardless. \xf0\x9f\x98\x8d\n\nHow to upgrade your\xe2\x80\xa6'"
20961162,Sam Bowne,b'The 10 Worst Things About Windows 11 | PCMag https://t.co/uJpdXDr0jv'
1384072455929565189,Danielle Matos,"b'RT @MicrosoftHelps: It might not come with a bow \xf0\x9f\x8e\x80 on top, but your PC will love that shiny new upgrade regardless. \xf0\x9f\x98\x8d\n\nHow to upgrade your\xe2\x80\xa6'"
1292947390215778305,Vandal ❄️,b'@OctoberrK is windows 11 bearable and like Functional'
215833298,Danlie,b'Windows 11 on Intel Core 7th gen. https://t.co/mXcHZyqiWN'
760478434095226880,william mcnellis,b'Windows 11 is getting one of Windows 10\xe2\x80\x99s most divisive features https://t.co/fSEgIqBrRx'
95925831,Michael Brown,b'Windows 11 and Xbox are calling my name in 2022.'
1168656219474747394,LTT Markov,b'Android 11 is BETTER than windows?'
109082290,National Cyber Security,b'Top 7 Ways to Fix Firefox Not Responding on Windows 10 and Windows 11 | #firefox | #chrome |\xc2\xa0#microsoftedge https://t.co/RkckFvvRQY'
194297917,Gregory D. Evans,b'Top 7 Ways to Fix Firefox Not Responding on Windows 10 and Windows 11 | #firefox | #chrome |\xc2\xa0#microsoftedge https://t.co/zou7c6NqGb'
1239549226025193472,Mahmoud👨🏻‍💻,"b""Windows 11 is the worst so far, it has unbelievably bugs, slowness, and critical issues \nI'm reinstalling windows 1\xe2\x80\xa6 https://t.co/0AXla19hIB"""
546063993,First Column - IT,b'How to Make Your Chrome Browser Look Like Windows 11 https://t.co/r4dQIyxgtH https://t.co/neUs29hD5d'
3064146644,SATYAJIT GHOSH ,"b""RT @JD__Online: @Microsoft I just like Bloomberry. It's different, it tastes good, like @Windows 11."""
1021740965407600640,JD is studying,"b""@Microsoft I just like Bloomberry. It's different, it tastes good, like @Windows 11."""
620295058,Ezefidelity,b'\xe2\x9c\xa8Top 7 Ways to Fix Firefox Not Responding on Windows 10 and Windows 11\n\n\xf0\x9f\x94\xadhttps://t.co/HUNwYrdGMM -'
92008385,Prof. Lee Stott,b'RT @mspoweruser: Google is bringing Google Play Games to Windows (and you wont need Windows 11) - https://t.co/skpQ4XMdJn https://t.co/YDOQ\xe2\x80\xa6'
3064146644,SATYAJIT GHOSH ,b'RT @XbaseTech: Good news! Microsoft is accelerating the Windows 11 rollout for eligible devices.  https://t.co/mHUEiwTBYB'
92008385,Prof. Lee Stott,"b'RT @tomwarren: Microsoft is adding a video encoding feature directly into DirectX 12 on Windows 11. It will support H264 and HEVC, and allo\xe2\x80\xa6'"
1264655569,XBASE Technologies,b'Good news! Microsoft is accelerating the Windows 11 rollout for eligible devices.  https://t.co/mHUEiwTBYB'
63043,MUO,b'How to Stop Automatic Updates on Windows 11 https://t.co/7PBtabxl6b'
4026513973,IBITS,b'Be careful if you upgrade to Windows 11 and then change your mind\xe2\x80\xa6 you only have 10 days to revert back to Windows\xe2\x80\xa6 https://t.co/RF7BZQmsNy'
3064146644,SATYAJIT GHOSH ,"b'RT @panos_panay: Microsoft has partnered with @pantone to incorporate the 2022 Color of the Year into our products across Windows, Teams, E\xe2\x80\xa6'"
852845856319565828,Kevin John Banks,b'The Best Productivity Features You Should Use in Windows 11 https://t.co/wco55lpJ41'
3303759385,Gyana,"b'RT @panos_panay: Microsoft has partnered with @pantone to incorporate the 2022 Color of the Year into our products across Windows, Teams, E\xe2\x80\xa6'"
612076511,Microsoft Surface,"b""@AdityaC34266984 There's so much to love with Windows 11! Which of the new features has been standing out to you?"""
1229759588,Honky Tonk Chicken Man Nacho Libre 🏒😎🇨🇦,b'@nusterbubbins upgraded to Windows 11 on my new laptop \xf0\x9f\x98\xac\xf0\x9f\x98\xac\xf0\x9f\x98\xac'
3064146644,SATYAJIT GHOSH ,b'RT @TrinicoCloud: Microsoft is bringing back the weather widget on the Windows 11 taskbar https://t.co/vDNDLfXZ2O'
1381392402687090694,Ahmed Abdel Latif,b'RT @mspoweruser: Google is bringing Google Play Games to Windows (and you wont need Windows 11) - https://t.co/skpQ4XMdJn https://t.co/YDOQ\xe2\x80\xa6'
3360886175,Trinico Cloud,b'Microsoft is bringing back the weather widget on the Windows 11 taskbar https://t.co/vDNDLfXZ2O'
399985113,Dimitri Lambrecht,b'In the core of this insane feature is 30yrs old technology of #lernoutandhauspie | #Microsoft Goes Hands-Free With\xe2\x80\xa6 https://t.co/hJbdUfR8Ye'
1251493696740229122,TecniAsistencia.es,"b""\xf0\x9f\x91\x89 Notebook HP Revolve 810 G3, 11'', Touch Intel Core i7-5600U, 2,60 GHz, 8 GB de RAM, SSD de 240 GB, Windows 10 Pro\xe2\x80\xa6 https://t.co/TrNbXKWnuZ"""
3064146644,SATYAJIT GHOSH ,"b""RT @X_SOLDIER: Android 12 is like when Microsoft released Windows 8 with the Metro UI \n\n\xe2\x80\x94 It's flat, bland, difficult to parse visually, an\xe2\x80\xa6"""
26977067,Rose Sana,b'Google Play Store games coming to Windows 10 and 11 next year https://t.co/oWpLxkDIBX https://t.co/dQWmHQaMLJ'
77179485,Sam Afshari 🇪🇺,b'Even moving windows around lags on Windows 11 on a maxed out Surface Book 3'
1341063807154745344,ash/declan 📀🎵🎮,"b""@lilanne_lunice i've read it might be using wayland? but in any case yeah on windows 11 you can just install gui ap\xe2\x80\xa6 https://t.co/waXSQGotXf"""
3433815723,WiseGuys,"b""RT @WindowsLatest: Hands on with Windows 11's redesigned Notepad app with dark mode https://t.co/PSTGAaAYWc #Windows11 https://t.co/w2Z3Ab2\xe2\x80\xa6"""
61975633,Pierce Arner,"b""Android 12 is like when Microsoft released Windows 8 with the Metro UI \n\n\xe2\x80\x94 It's flat, bland, difficult to parse vis\xe2\x80\xa6 https://t.co/UHg7pwuCBJ"""
1284414997599117314,nightplu,b'@RyuuShuo @Microsoft Are you upgrade to Windows 11?'
77179485,Sam Afshari 🇪🇺,"b'Downgraded from @Windows 11 to Windows 10. 11 is too slow, inefficient, unpolished and buggy.'"
743579496574492673,Lorenzo D'Annunzio,"b'RT @WindowsLatest: Microsoft admits another Windows 11 bug is slowing down PCs, but a fix is coming https://t.co/LjM4o0hwa2 #Windows11 http\xe2\x80\xa6'"
2790948541,Tech Industry Briefly,"b""Google Play Store games coming to Windows 10 and 11 next year (https://t.co/gdsm1FU5oy)\n\nDuring this year's Game Aw\xe2\x80\xa6 https://t.co/Z0lODv4WZR"""
968617616762916864,The Bluewolf,b'RT @joehelle: Take that Windows 11 and Defender. https://t.co/66GNrZrFt9'
2480152112,Hawkdive,b'Annoyed by fix low Microphone volume issues in Windows 11? Let\xe2\x80\x99s see what can be done to fix the issue. The microph\xe2\x80\xa6 https://t.co/OlOVqp1TUw'
725719639175516160,🌸 サッチ 🌸,b'WINDOWS 11. I ABHOR YOU.'
4143203369,Karl Heinz Häsliprinz,"b'@nixcraft There was a short dip when SSDs first entered the market, but Windows 11 seems capable of returning the d\xe2\x80\xa6 https://t.co/OuVebn2e9V'"
2438099425,総理大臣@あんぽんたん,b'RT @carlyraejepsen: Look at this adorable Airbnb I found! So spacious and so many windows. Consider it booked! Somerset House on July 11! T\xe2\x80\xa6'
113231054,J • P • M • T,b'RT @gsmarena_com: Google Play Store games coming to Windows 10 and 11 next year https://t.co/DdXfOPK7Wo https://t.co/y0z497XVQS'
726420862866345984,taufiq #GrazieVale,b'windows 11 ice cream'
3816550932,Reciprocal Technologies,b'How to Make Your Chrome Browser Look Like Windows 11 https://t.co/NIeIpJmiL3 https://t.co/LO3dbwceVN'
56799145,Lonely This Chris-mas 🎅🏻,"b'Of course, me being me, I\xe2\x80\x99m going to try and upgrade it to Windows 11 now\xe2\x80\xa6 \xf0\x9f\x92\xa5'"
